motion_id,member,vote
2024-11-trinity-overnight-264000,Matt Crowley,For
2024-11-trinity-overnight-264000,Kevin Duguay,Against
2024-11-trinity-overnight-264000,Dave Haacke,For
2024-11-trinity-overnight-264000,Joy Lachica,For
2024-11-trinity-overnight-264000,Jeff Leal,For
2024-11-trinity-overnight-264000,Lesley Parnell,For
2024-11-trinity-overnight-264000,Keith Riel,For
2024-11-trinity-overnight-264000,Don Vassiliadis,Against
2024-11-hsf-360000,Gary Baldwin,For
2024-11-hsf-360000,Andrew Beamer,For
2024-11-hsf-360000,Alex Bierk,For
2024-11-hsf-360000,Matt Crowley,For
2024-11-hsf-360000,Kevin Duguay,For
2024-11-hsf-360000,Dave Haacke,For
2024-11-hsf-360000,Joy Lachica,For
2024-11-hsf-360000,Jeff Leal,For
2024-11-hsf-360000,Lesley Parnell,For
2024-11-hsf-360000,Keith Riel,For
2024-11-hsf-360000,Don Vassiliadis,For
2024-11-brock-worker-280000,Gary Baldwin,For
2024-11-brock-worker-280000,Andrew Beamer,For
2024-11-brock-worker-280000,Alex Bierk,For
2024-11-brock-worker-280000,Matt Crowley,For
2024-11-brock-worker-280000,Kevin Duguay,For
2024-11-brock-worker-280000,Dave Haacke,For
2024-11-brock-worker-280000,Joy Lachica,For
2024-11-brock-worker-280000,Jeff Leal,For
2024-11-brock-worker-280000,Lesley Parnell,For
2024-11-brock-worker-280000,Keith Riel,For
2024-11-brock-worker-280000,Don Vassiliadis,For
2024-11-trinity-daytime-240000,Gary Baldwin,For
2024-11-trinity-daytime-240000,Andrew Beamer,Against
2024-11-trinity-daytime-240000,Alex Bierk,For
2024-11-trinity-daytime-240000,Matt Crowley,Against
2024-11-trinity-daytime-240000,Kevin Duguay,For
2024-11-trinity-daytime-240000,Dave Haacke,For
2024-11-trinity-daytime-240000,Joy Lachica,For
2024-11-trinity-daytime-240000,Jeff Leal,For
2024-11-trinity-daytime-240000,Lesley Parnell,For
2024-11-trinity-daytime-240000,Keith Riel,For
2024-11-trinity-daytime-240000,Don Vassiliadis,Against
