fiscal_year,version_label,published_column_label,gross_operating_expenditure_cad,taxation_revenue_cad,source_id,source_url,source_table,review_status,notes
2022,2022 Approved,2022 Approved,297946795,147400030,budget-2023-operating,https://media-002-ca.cdn.govstack.com/memorialcentre-011-ca/media/4xgnhf1i/2023-operating-book-draft2-1.pdf,Summary of Gross Revenue & Expenditures,machine_checked,Prior-year approved figures published in the 2023 operating book
2023,2023 Approved,2023 Approved,326812141,154044341,budget-2024,https://media-002-ca.cdn.govstack.com/memorialcentre-011-ca/media/3orlt1it/2024-budget-highlights-draft-webversion.pdf,Chart 1 - Revenues by Type and Gross Operating Expenditures by Department,machine_checked,Prior-year approved figures published in the 2024 budget book
2024,2024 Approved,2024 Approved,363108377,171934087,budget-2025,https://media-002-ca.cdn.govstack.com/memorialcentre-011-ca/media/qdynmy1j/budget-book-2025-draft-webversion.pdf,Chart 1 - Revenues by Type and Gross Operating Expenditures by Department,machine_checked,Prior-year approved figures published in the 2025 budget book
2025,2025 Approved,2025 Approved,432730055,183833050,budget-2026,https://media-002-ca.cdn.govstack.com/memorialcentre-011-ca/media/21lhmi5p/budget-book-2026-final.pdf,Chart 1 - Revenues by Type and Gross Operating Expenditures by Department,machine_checked,Prior-year approved figures published in the final 2026 budget book
2026,2026 Final Budget Book,2026 Requested Budget,454163028,198379745,budget-2026,https://media-002-ca.cdn.govstack.com/memorialcentre-011-ca/media/21lhmi5p/budget-book-2026-final.pdf,Chart 1 - Revenues by Type and Gross Operating Expenditures by Department,machine_checked,Final budget book after adoption; source table retains the column label Requested Budget
