service_id,canonical_service,fiscal_year,net_requirement_before_indirect_revenues_cad,allocated_indirect_revenue_cad,net_tax_levy_cad,source_id,source_url,source_table,review_status,notes
social_services,Social Services,2026,16700452,-1106984,15593468,budget-2026,https://www.peterborough.ca/media/21lhmi5p/budget-book-2026-final.pdf,What a Residential Tax Payer Pays for Various Municipal Services,verified_primary_source,Shows the 2026 bridge from the service trend measure to the tax-levy allocation.
fire,Fire Services,2026,21097276,-1398426,19698850,budget-2026,https://www.peterborough.ca/media/21lhmi5p/budget-book-2026-final.pdf,What a Residential Tax Payer Pays for Various Municipal Services,verified_primary_source,Shows the 2026 bridge from the service trend measure to the tax-levy allocation.
capital_financing,Capital Financing Costs,2026,41295653,-15077269,26218384,budget-2026,https://www.peterborough.ca/media/21lhmi5p/budget-book-2026-final.pdf,What a Residential Tax Payer Pays for Various Municipal Services,verified_primary_source,Shows the 2026 bridge from the service trend measure to the tax-levy allocation.
police,Police Services,2026,41286366,-2736654,38549712,budget-2026,https://www.peterborough.ca/media/21lhmi5p/budget-book-2026-final.pdf,What a Residential Tax Payer Pays for Various Municipal Services,verified_primary_source,Shows the 2026 bridge from the service trend measure to the tax-levy allocation.
